title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
Checking Contact Tracing App Implementations with Bespoke Static Analysis,10.1007/s42979-022-01357-w,2022,https://link.springer.com/article/10.1007/s42979-022-01357-w,"@Article{Flood2022,
author=""Flood, Robert
and Chan, Sheung Chi
and Chen, Wei
and Aspinall, David"",
title=""Checking Contact Tracing App Implementations with Bespoke Static Analysis"",
journal=""SN Computer Science"",
year=""2022"",
month=""Sep"",
day=""28"",
volume=""3"",
number=""6"",
pages=""496"",
abstract=""In the wake of the COVID-19 pandemic, contact tracing apps have been developed based on digital contact tracing frameworks. These allow developers to build privacy-conscious apps that detect whether an infected individual is in close proximity with others. Given the urgency of the problem, these apps have been developed at an accelerated rate with a brief testing period. Such quick development may have led to mistakes in the apps' implementations, resulting in problems with their functionality, privacy and security. To mitigate these concerns, we develop and apply a methodology for evaluating the functionality, privacy and security of Android apps using the Google/Apple Exposure Notification API. This is a three-pronged approach consisting of a manual analysis, general static analysis and a bespoke static analysis, using a tool we have developed, dubbed MonSTER. As a result, we have found that, although most apps met the basic standards outlined by Google/Apple, there are issues with the functionality of some of these apps that could impact user safety."",
issn=""2661-8907"",
doi=""10.1007/s42979-022-01357-w"",
url=""https://doi.org/10.1007/s42979-022-01357-w""
}",en,Article,1,0,0
Data-Driven Improvement of Static Application Security Testing Service: An Experience Report in Visma,10.1007/978-3-031-21388-5_11,2022,https://link.springer.com/chapter/10.1007/978-3-031-21388-5_11,"@InProceedings{10.1007/978-3-031-21388-5_11,
author=""Iovan, Monica
and Cruzes, Daniela Soares"",
editor=""Taibi, Davide
and Kuhrmann, Marco
and Mikkonen, Tommi
and Kl{\""u}nder, Jil
and Abrahamsson, Pekka"",
title=""Data-Driven Improvement of Static Application Security Testing Service: An Experience Report in Visma"",
booktitle=""Product-Focused Software Process Improvement"",
year=""2022"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""157--170"",
abstract=""Security is increasingly recognized as an important aspect of software development processes. Improving processes for security in agile teams is very important to streamline the focus on security and keep the agility of the software development process. In Visma we use data to drive improvement of security services provided to the software teams. The improvement process involves changing the services or their structures after some period of usage and experience with it, driven by data collected during operations. We systematically identify the areas that need changes in order to become more valuable for the development teams and for the security program. In this paper we have described the improvement process used on the security static analysis service in Visma, the data we have used for that, how we extracted this data from the Static Application Security Testing (SAST) tool, the lessons learned and also provide some guidelines to other organizations that would like to use this method in their own services."",
isbn=""978-3-031-21388-5""
}",en,InProceedings,0,,
Rubbing salt in the wound? A large-scale investigation into the effects of refactoring on security,10.1007/s10664-023-10287-x,2023,https://link.springer.com/article/10.1007/s10664-023-10287-x,"@Article{Iannone2023,
author=""Iannone, Emanuele
and Codabux, Zadia
and Lenarduzzi, Valentina
and De Lucia, Andrea
and Palomba, Fabio"",
title=""Rubbing salt in the wound? A large-scale investigation into the effects of refactoring on security"",
journal=""Empirical Software Engineering"",
year=""2023"",
month=""May"",
day=""24"",
volume=""28"",
number=""4"",
pages=""89"",
abstract=""Software refactoring is a behavior-preserving activity to improve the source code quality without changing its external behavior. Unfortunately, it is often a manual and error-prone task that may induce regressions in the source code. Researchers have provided initial compelling evidence of the relation between refactoring and defects, yet little is known about how much it may impact software security. This paper bridges this knowledge gap by presenting a large-scale empirical investigation into the effects of refactoring on the security profile of applications. We conduct a three-level mining software repository study to establish the impact of 14 refactoring types on (i) security-related metrics, (ii) security technical debt, and (iii) the introduction of known vulnerabilities. The study covers 39 projects and a total amount of 7,708 refactoring commits. The key results show that refactoring has a limited connection to security. However, Inline Method and Extract Interface statistically contribute to improving some security aspects connected to encapsulating security-critical code components. Extract Superclass and Pull Up Attribute refactoring are commonly found in commits violating specific security best practices for writing secure code. Finally, Extract Superclass and Extract {\&} Move Method refactoring tend to occur more often in commits contributing to the introduction of vulnerabilities. We conclude by distilling lessons learned and recommendations for researchers and practitioners."",
issn=""1573-7616"",
doi=""10.1007/s10664-023-10287-x"",
url=""https://doi.org/10.1007/s10664-023-10287-x""
}",en,Article,0,,
Algorithm substitution attacks against receivers,10.1007/s10207-022-00596-5,2022,https://link.springer.com/article/10.1007/s10207-022-00596-5,"@Article{Armour2022,
author=""Armour, Marcel
and Poettering, Bertram"",
title=""Algorithm substitution attacks against receivers"",
journal=""International Journal of Information Security"",
year=""2022"",
month=""Oct"",
day=""01"",
volume=""21"",
number=""5"",
pages=""1027--1050"",
abstract=""This work describes a class of Algorithm Substitution Attack (ASA) generically targeting the receiver of a communication between two parties. Our work provides a unified framework that applies to any scheme where a secret key is held by the receiver; in particular, message authentication schemes (MACs), authenticated encryption (AEAD) and public key encryption (PKE). Our unified framework brings together prior work targeting MAC schemes (FSE'19) and AEAD schemes (IMACC'19); we extend prior work by showing that public key encryption may also be targeted. ASAs were initially introduced by Bellare, Paterson and Rogaway in light of revelations concerning mass surveillance, as a novel attack class against the confidentiality of encryption schemes. Such an attack replaces one or more of the regular scheme algorithms with a subverted version that aims to reveal information to an adversary (engaged in mass surveillance), while remaining undetected by users. Previous work looking at ASAs against encryption schemes can be divided into two groups. ASAs against PKE schemes target key generation by creating subverted public keys that allow an adversary to recover the secret key. ASAs against symmetric encryption target the encryption algorithm and leak information through a subliminal channel in the ciphertexts. We present a new class of attack that targets the decryption algorithm of an encryption scheme for symmetric encryption and public key encryption, or the verification algorithm for an authentication scheme. We present a generic framework for subverting a cryptographic scheme between a sender and receiver, and show how a decryption oracle allows a subverter to create a subliminal channel which can be used to leak secret keys. We then show that the generic framework can be applied to authenticated encryption with associated data, message authentication schemes, public key encryption and KEM/DEM constructions. We consider practical considerations and specific conditions that apply for particular schemes, strengthening the generic approach. Furthermore, we show how the hybrid subversion of key generation and decryption algorithms can be used to amplify the effectiveness of our decryption attack. We argue that this attack represents an attractive opportunity for a mass surveillance adversary. Our work serves to refine the ASA model and contributes to a series of papers that raises awareness and understanding about what is possible with ASAs."",
issn=""1615-5270"",
doi=""10.1007/s10207-022-00596-5"",
url=""https://doi.org/10.1007/s10207-022-00596-5""
}",en,Article,1,0,0
When Security Meets Velocity: Modeling Continuous Security for Cloud Applications using DevSecOps,10.1007/978-981-15-9651-3_36,2021,https://link.springer.com/chapter/10.1007/978-981-15-9651-3_36,"@InProceedings{10.1007/978-981-15-9651-3_36,
author=""Kumar, Rakesh
and Goyal, Rinkaj"",
editor=""Raj, Jennifer S.
and Iliyasu, Abdullah M.
and Bestak, Robert
and Baig, Zubair A."",
title=""When Security Meets Velocity: Modeling Continuous Security for Cloud Applications using DevSecOps"",
booktitle=""Innovative Data Communication Technologies and Application"",
year=""2021"",
publisher=""Springer Singapore"",
address=""Singapore"",
pages=""415--432"",
abstract=""Kumar, RakeshGoyal, RinkajIn the quest of velocity in time-to-market for the cloud applications, often, the security requirements are overlooked. It is mainly due to the preconceived notion that building security capabilities is very time-intensive and affects delivery timeline. However, the lack of required security capabilities in the applications have cascading impact on business objectives. The proposed research work addresses this issue by enabling automation in security activities. This work extends our previous work to analyze security challenges in cloud-enabled, cloud-native, cloud edge IoT, and cloud big data analytics applications and conceptualize a continuous security model for cloud applications using DevSecOps. The model proposes four inter-woven components: (1) principles to follow, (2) application lifecycle stages to implement, (3) practices to adopt, and (4) automation ecosystem to use. These components provide security elements to consider during cloud application development, deployment, and operation phases to bring velocity in building security capabilities and providing the continuous security assurance."",
isbn=""978-981-15-9651-3""
}",en,InProceedings,1,0,0
A Self-adaptive Approach for Assessing the Criticality of Security-Related Static Analysis Alerts,10.1007/978-3-030-87007-2_21,2021,https://link.springer.com/chapter/10.1007/978-3-030-87007-2_21,"@InProceedings{10.1007/978-3-030-87007-2_21,
author=""Siavvas, Miltiadis
and Kalouptsoglou, Ilias
and Tsoukalas, Dimitrios
and Kehagias, Dionysios"",
editor=""Gervasi, Osvaldo
and Murgante, Beniamino
and Misra, Sanjay
and Garau, Chiara
and Ble{\v{c}}i{\'{c}}, Ivan
and Taniar, David
and Apduhan, Bernady O.
and Rocha, Ana Maria A. C.
and Tarantino, Eufemia
and Torre, Carmelo Maria"",
title=""A Self-adaptive Approach for Assessing the Criticality of Security-Related Static Analysis Alerts"",
booktitle=""Computational Science and Its Applications -- ICCSA 2021"",
year=""2021"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""289--305"",
abstract=""Despite the acknowledged ability of automated static analysis to detect software vulnerabilities, its adoption in practice is limited, mainly due to the large number of false alerts (i.e., false positives) that it generates. Although several machine learning-based techniques for assessing the actionability of the produced alerts and for filtering out false positives have been proposed, none of them have demonstrated sufficient results, whereas limited attempts focus on assessing the criticality of the alerts from a security viewpoint. To this end, in the present paper we propose an approach for assessing the criticality of security-related static analysis alerts. In particular, we develop a machine learning-based technique for prioritizing and classifying security-related static analysis alerts based on their criticality, by considering information retrieved from the alerts themselves, vulnerability prediction models, and user feedback. The concept of retraining is also adopted to enable the model to correct itself and adapt to previously unknown software products. The technique has been evaluated through a case study, which revealed its capacity to effectively assess the criticality of alerts of previously unknown projects, as well as its ability to dynamically adapt to the characteristics of the new project and provide more accurate assessments through retraining."",
isbn=""978-3-030-87007-2""
}",en,InProceedings,1,0,0
Helping novice developers harness security issues in cloud-IoT systems,10.1007/s40860-022-00175-4,2022,https://link.springer.com/article/10.1007/s40860-022-00175-4,"@Article{Corno2022,
author=""Corno, Fulvio
and De Russis, Luigi
and Mannella, Luca"",
title=""Helping novice developers harness security issues in cloud-IoT systems"",
journal=""Journal of Reliable Intelligent Environments"",
year=""2022"",
month=""Sep"",
day=""01"",
volume=""8"",
number=""3"",
pages=""261--283"",
abstract=""The development of cloud-connected Internet of Things (IoT) systems is becoming more and more affordable, even to novice programmers, thanks to dedicated cloud platforms that already integrate the core functionality needed by an IoT system. In this context, a growing number of IoT systems are being developed and deployed on open networks, often without integrating adequate security in the process. Novice IoT programmers, in particular, tend to overlook security issues, as confirmed by a small user study. Starting from this risk, the paper analyzes the security features available in two major cloud-IoT platforms (Amazon Web Services and Microsoft Azure) and highlights those settings, tools, and practices designed to ensure more secure implementations. We observed that these platforms would reasonably address many security problems detected in the study, if only the correct features were identified and used. The paper finally contributes a set of guidelines to support novice IoT developers in avoiding the main and recurrent security issues in their projects and better exploiting cloud-IoT platforms' inherent security features."",
issn=""2199-4676"",
doi=""10.1007/s40860-022-00175-4"",
url=""https://doi.org/10.1007/s40860-022-00175-4""
}",en,Article,0,,
A Survey on Common Threats in npm and PyPi Registries,10.1007/978-3-030-87839-9_6,2021,https://link.springer.com/chapter/10.1007/978-3-030-87839-9_6,"@InProceedings{10.1007/978-3-030-87839-9_6,
author=""Kaplan, Berkay
and Qian, Jingyu"",
editor=""Wang, Gang
and Ciptadi, Arridhana
and Ahmadzadeh, Ali"",
title=""A Survey on Common Threats in npm and PyPi Registries"",
booktitle=""Deployable Machine Learning for Security Defense"",
year=""2021"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""132--156"",
abstract=""Software engineers regularly use JavaScript and Python for both front-end and back-end automation tasks. On top of JavaScript and Python, there are several frameworks to facilitate automation tasks further. Some of these frameworks are Node Manager Package (npm) and Python Package Index (PyPi), which are open source (OS) package libraries. The public registries npm and PyPi use to host packages allow any user with a verified email to publish code. The lack of a comprehensive scanning tool when publishing to the registry creates security concerns. Users can report malicious code on the registry; however, attackers can still cause damage until they remove their tool from the platform. Furthermore, several packages depend on each other, making them more vulnerable to a bad package in the dependency tree. The heavy code reuse creates security artifacts developers have to consider, such as the package reach. This project will illustrate a high-level overview of common risks associated with OS registries and the package dependency structure. There are several attack types, such as typosquatting and combosquatting, in the OS package registries. Outdated packages pose a security risk, and we will examine the extent of technical lag present in the npm environment. In this paper, our main contribution consists of a survey of common threats in OS registries. Afterward, we will offer countermeasures to mitigate the risks presented. These remedies will heavily focus on the applications of Machine Learning (ML) to detect suspicious activities. To the best of our knowledge, the ML-focused countermeasures are the first proposed possible solutions to the security problems listed. In addition, this project is the first survey of threats in npm and PyPi, although several studies focus on a subset of threats."",
isbn=""978-3-030-87839-9""
}",en,InProceedings,0,,
Assessment of National Crime Reporting System: Detailed Analysis of the Desktop Application,10.1007/978-3-030-43020-7_11,2020,https://link.springer.com/chapter/10.1007/978-3-030-43020-7_11,"@InProceedings{10.1007/978-3-030-43020-7_11,
author=""Martinez, Francisco Garcia
and Dawson, Maurice
and Taveras, Pedro"",
editor=""Latifi, Shahram"",
title=""Assessment of National Crime Reporting System: Detailed Analysis of the Desktop Application"",
booktitle=""17th International Conference on Information Technology--New Generations (ITNG 2020)"",
year=""2020"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""73--78"",
abstract=""Numerous standards and codes of best practice recommend the implementation of security practices since the early stages of the application development process. Commonly known as `security-as-default', these practices consist of coding while keeping security in mind to start addressing threats and vulnerabilities before integrating security measures becomes too laborious. Hence, these best practices lead to cleaner and safer code. An effective way to find out whether the application is secure is by performing source code analyses. These analyses report weaknesses in the code once run against a predefined set of rules. Consequently, developers can detect and correct these issues, preventing the application from future exploits. A static source code analysis was performed to assess a National Crime Reporting System for a Latin American country's National Police. The system is comprised of three modules: the mobile app, the desktop app, and the backend service. This paper focuses on the assessment of the desktop module."",
isbn=""978-3-030-43020-7""
}",en,InProceedings,0,,
An empirical study of developers’ discussions about security challenges of different programming languages,10.1007/s10664-021-10054-w,2021,https://link.springer.com/article/10.1007/s10664-021-10054-w,"@Article{Croft2021,
author=""Croft, Roland
and Xie, Yongzheng
and Zahedi, Mansooreh
and Babar, M. Ali
and Treude, Christoph"",
title=""An empirical study of developers' discussions about security challenges of different programming languages"",
journal=""Empirical Software Engineering"",
year=""2021"",
month=""Dec"",
day=""01"",
volume=""27"",
number=""1"",
pages=""27"",
abstract=""Given programming languages can provide different types and levels of security support, it is critically important to consider security aspects while selecting programming languages for developing software systems. Inadequate consideration of security in the choice of a programming language may lead to potential ramifications for secure development. Whilst theoretical analysis of the supposed security properties of different programming languages has been conducted, there has been relatively little effort to empirically explore the actual security challenges experienced by developers. We have performed a large-scale study of the security challenges of 15 programming languages by quantitatively and qualitatively analysing the developers' discussions from Stack Overflow and GitHub. By leveraging topic modelling, we have derived a taxonomy of 18 major security challenges for 6 topic categories. We have also conducted comparative analysis to understand how the identified challenges vary regarding the different programming languages and data sources. Our findings suggest that the challenges and their characteristics differ substantially for different programming languages and data sources, i.e., Stack Overflow and GitHub. The findings provide evidence-based insights and understanding of security challenges related to different programming languages to software professionals (i.e., practitioners or researchers). The reported taxonomy of security challenges can assist both practitioners and researchers in better understanding and traversing the secure development landscape. This study highlights the importance of the choice of technology, e.g., programming language, in secure software engineering. Hence, the findings are expected to motivate practitioners to consider the potential impact of the choice of programming languages on software security."",
issn=""1573-7616"",
doi=""10.1007/s10664-021-10054-w"",
url=""https://doi.org/10.1007/s10664-021-10054-w""
}",en,Article,0,,
"Maintenance-related concerns for post-deployed Ethereum smart contract development: issues, techniques, and future challenges",10.1007/s10664-021-10018-0,2021,https://link.springer.com/article/10.1007/s10664-021-10018-0,"@Article{Chen2021,
author=""Chen, Jiachi
and Xia, Xin
and Lo, David
and Grundy, John
and Yang, Xiaohu"",
title=""Maintenance-related concerns for post-deployed Ethereum smart contract development: issues, techniques, and future challenges"",
journal=""Empirical Software Engineering"",
year=""2021"",
month=""Aug"",
day=""25"",
volume=""26"",
number=""6"",
pages=""117"",
abstract=""Software development is a very broad activity that captures the entire life cycle of a software, which includes designing, programming, maintenance and so on. In this study, we focus on the maintenance-related concerns of the post-deployment of smart contracts. Smart contracts are self-executed programs that run on a blockchain. They cannot be modified once deployed and hence they bring unique maintenance challenges compared to conventional software. According to the definition of ISO/IEC 14764, there are four kinds of software maintenance, i.e., corrective, adaptive, perfective, and preventive maintenance. This study aims to answer (i) What kinds of issues will smart contract developers encounter for corrective, adaptive, perfective, and preventive maintenance after they are deployed to the Ethereum? (ii) What are the current maintenance-related methods used for smart contracts? To obtain the answers to these research questions, we first conducted a systematic literature review to analyze 131 smart contract related research papers published from 2014 to 2020. Since the Ethereum ecosystem is fast-growing, some results from previous publications might be out-of-date and there may be a gap between academia and industry. To address this, we performed an online survey of smart contract developers on Github to validate our findings and received 165 useful responses. Based on the survey feedback and literature review, we present the first empirical study on smart contract maintenance-related concerns. Our study can help smart contract developers better maintain their smart contract-based projects, and we highlight some key future research directions to improve the Ethereum ecosystem."",
issn=""1573-7616"",
doi=""10.1007/s10664-021-10018-0"",
url=""https://doi.org/10.1007/s10664-021-10018-0""
}",en,Article,0,,
Automated and Secure Integration of the OpenID Connect iGov Profile in Mobile Native Applications,10.1007/978-3-030-64455-0_4,2020,https://link.springer.com/chapter/10.1007/978-3-030-64455-0_4,"@InProceedings{10.1007/978-3-030-64455-0_4,
author=""Sharif, Amir
and Carbone, Roberto
and Sciarretta, Giada
and Ranise, Silvio"",
editor=""Saracino, Andrea
and Mori, Paolo"",
title=""Automated and Secure Integration of the OpenID Connect iGov Profile in Mobile Native Applications"",
booktitle=""Emerging Technologies for Authorization and Authentication"",
year=""2020"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""50--70"",
abstract=""Electronic identification schemes have been built to simplify citizens access to online public administration services and reduce password fatigue via a single sign-on experience. To provide a precise specification for government and public service domains on how to protect the user's identity information and activity from unintentional exposure, the OAuth working group together with the OpenID Connect foundation have published the International Government Assurance Profile (iGov) document. As the specification contains high-level concepts and brings together a lot of insights from already published documents to increase the baseline security and structure deployments, it may be unclear or misleading for mobile application developers. This is mainly due to the fact that firstly, they are not usually security experts and secondly, the aforementioned documents are not mostly designed for the native applications that can affect the implementation security based on the differences between the native and web environment. The aforementioned source of uncertainty for inexperienced developers can lead to various threats that can expose user's resources. To avoid these problems, we demystify the iGov profile for non-security experts by extracting the wealth information from the iGov specifications, and we apply the best current practices for native applications within the iGov profile to conceptualize the flow for native applications. Furthermore, we provide a wizard-based approach to automatically integrate the secure code for the iGov profile in Android native applications."",
isbn=""978-3-030-64455-0""
}",en,InProceedings,1,0,0
Comprehensive review and analysis of anti-malware apps for smartphones,10.1007/s11235-019-00575-7,2019,https://link.springer.com/article/10.1007/s11235-019-00575-7,"@Article{Talal2019,
author=""Talal, Mohammed
and Zaidan, A. A.
and Zaidan, B. B.
and Albahri, O. S.
and Alsalem, M. A.
and Albahri, A. S.
and Alamoodi, A. H.
and Kiah, M. L. M.
and Jumaah, F. M.
and Alaa, Mussab"",
title=""Comprehensive review and analysis of anti-malware apps for smartphones"",
journal=""Telecommunication Systems"",
year=""2019"",
month=""Oct"",
day=""01"",
volume=""72"",
number=""2"",
pages=""285--337"",
abstract=""The new and disruptive technologies for ensuring smartphone security are very limited and largely scattered. The available options and gaps in this research area must be analysed to provide valuable insights about the present technological environment. This work illustrates the research landscape by mapping the existing literature to a comprehensive taxonomy with four categories. The first category includes review and survey articles related to smartphone security. The second category includes papers on smartphone security solutions. The third category includes smartphone malware studies that examine the security aspects of smartphones and the threats posed by malware. The fourth category includes ranking, clustering and classification studies that classify malware based on their families or security risk levels. Several smartphone security apps have also been analysed and compared based on their mechanisms to identify their contents and distinguishing features by using several evaluation metrics and parameters. Two malware detection techniques, namely, machine-learning-based and non-machine-learning-based malware detection, are drawn from the review. The basic characteristics of this emerging field of research are discussed in the following aspects: (1) motivation behind the development of security measures for different smartphone operating system (Oss), (2) open challenges that compromise the usability and personal information of users and (3) recommendations for enhancing smartphone security. This work also reviews the functionalities and services of several anti-malware companies to fully reveal their security mechanisms, features and strategies. This work also highlights the open challenges and issues related to the evaluation and benchmarking of malware detection techniques to identify the best malware detection apps for smartphones."",
issn=""1572-9451"",
doi=""10.1007/s11235-019-00575-7"",
url=""https://doi.org/10.1007/s11235-019-00575-7""
}",en,Article,0,,
Security of controlled manufacturing systems in the connected factory: the case of industrial robots,10.1007/s11416-019-00329-8,2019,https://link.springer.com/article/10.1007/s11416-019-00329-8,"@Article{Pogliani2019,
author=""Pogliani, Marcello
and Quarta, Davide
and Polino, Mario
and Vittone, Martino
and Maggi, Federico
and Zanero, Stefano"",
title=""Security of controlled manufacturing systems in the connected factory: the case of industrial robots"",
journal=""Journal of Computer Virology and Hacking Techniques"",
year=""2019"",
month=""Sep"",
day=""01"",
volume=""15"",
number=""3"",
pages=""161--175"",
abstract=""In modern factories, ``controlled'' manufacturing systems, such as industrial robots, CNC machines, or 3D printers, are often connected in a control network, together with a plethora of heterogeneous control devices. Despite the obvious advantages in terms of production and ease of maintenance, this trend raises non-trivial cybersecurity concerns. Often, the devices employed are not designed for an interconnected world, but cannot be promptly replaced: In fact, they have essentially become legacy systems, embodying design patterns where components and networks are accounted as trusted elements. In this paper, we take a holistic view of the security issues (and challenges) that arise in designing and securely deploying controlled manufacturing systems, using industrial robots as a case study---indeed, robots are the most representative instance of a complex automatically controlled industrial device. Following up to our previous experimental analysis, we take a broad look at the deployment of industrial robots in a typical factory network and at the security challenges that arise from the interaction between operators and machines; then, we propose actionable points to secure industrial cyber-physical systems, and we discuss the limitations of the current standards in industrial robotics to account for active attackers."",
issn=""2263-8733"",
doi=""10.1007/s11416-019-00329-8"",
url=""https://doi.org/10.1007/s11416-019-00329-8""
}",en,Article,0,,
Ensuring Resource Trust and Integrity in Web Browsers Using Blockchain Technology,10.1007/978-3-319-92898-2_9,2018,https://link.springer.com/chapter/10.1007/978-3-319-92898-2_9,"@InProceedings{10.1007/978-3-319-92898-2_9,
author=""Cap, Clemens H.
and Leiding, Benjamin"",
editor=""Matulevi{\v{c}}ius, Raimundas
and Dijkman, Remco"",
title=""Ensuring Resource Trust and Integrity in Web Browsers Using Blockchain Technology"",
booktitle=""Advanced Information Systems Engineering Workshops"",
year=""2018"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""115--125"",
abstract=""Current web technology allows the use of cryptographic primitives as part of server-provided Javascript. This may result in security problems with web-based services. We provide an example for an attack on the WhisperKey service. We present a solution which is based on human code reviewing and on CVE (Common Vulnerabilities and Exposures) data bases. In our approach, existing code audits and known vulnerabilities are tied to the Javascript file by a tamper-proof Blockchain approach and are signaled to the user by a browser extension. The contribution explains our concept and its workflow; it may be extended to all situations with modular, mobile code. Finally, we propose an amendment to the W3C subresource recommendation."",
isbn=""978-3-319-92898-2""
}",en,InProceedings,1,1,0
The impact of rapid release cycles on the integration delay of fixed issues,10.1007/s10664-017-9548-7,2017,https://link.springer.com/article/10.1007/s10664-017-9548-7,"@Article{Costa2018,
author=""Costa, Daniel Alencar da
and McIntosh, Shane
and Treude, Christoph
and Kulesza, Uir{\'a}
and Hassan, Ahmed E."",
title=""The impact of rapid release cycles on the integration delay of fixed issues"",
journal=""Empirical Software Engineering"",
year=""2018"",
month=""Apr"",
day=""01"",
volume=""23"",
number=""2"",
pages=""835--904"",
abstract=""The release frequency of software projects has increased in recent years. Adopters of so-called rapid releases---short release cycles, often on the order of weeks, days, or even hours---claim that they can deliver fixed issues (i.e., implemented bug fixes and new features) to users more quickly. However, there is little empirical evidence to support these claims. In fact, our prior work shows that code integration phases may introduce delays for rapidly releasing projects---98{\%} of the fixed issues in the rapidly releasing Firefox project had their integration delayed by at least one release. To better understand the impact that rapid release cycles have on the integration delay of fixed issues, we perform a comparative study of traditional and rapid release cycles. Our comparative study has two parts: (i) a quantitative empirical analysis of 72,114 issue reports from the Firefox project, and a (ii) qualitative study involving 37 participants, who are contributors of the Firefox, Eclipse, and ArgoUML projects. Our study is divided into quantitative and qualitative analyses. Quantitative analyses reveal that, surprisingly, fixed issues take a median of 54{\%} (57 days) longer to be integrated in rapid Firefox releases than the traditional ones. To investigate the factors that are related to integration delay in traditional and rapid release cycles, we train regression models that model whether a fixed issue will have its integration delayed or not. Our explanatory models achieve good discrimination (ROC areas of 0.80--0.84) and calibration scores (Brier scores of 0.05--0.16) for rapid and traditional releases. Our explanatory models indicate that (i) traditional releases prioritize the integration of backlog issues, while (ii) rapid releases prioritize issues that were fixed in the current release cycle. Complementary qualitative analyses reveal that participants' perception about integration delay is tightly related to activities that involve decision making, risk management, and team collaboration. Moreover, the allure of shipping fixed issues faster is a main motivator for adopting rapid release cycles among participants (although this motivation is not supported by our quantitative analysis). Furthermore, to explain why traditional releases deliver fixed issues more quickly, our participants point out the rush for integration in traditional releases and the increased time that is invested on polishing issues in rapid releases. Our results suggest that rapid release cycles may not be a silver bullet for the rapid delivery of new content to users. Instead, our results suggest that the benefits of rapid releases are increased software stability and user feedback."",
issn=""1573-7616"",
doi=""10.1007/s10664-017-9548-7"",
url=""https://doi.org/10.1007/s10664-017-9548-7""
}",en,Article,0,,
What do developers search for on the web?,10.1007/s10664-017-9514-4,2017,https://link.springer.com/article/10.1007/s10664-017-9514-4,"@Article{Xia2017,
author=""Xia, Xin
and Bao, Lingfeng
and Lo, David
and Kochhar, Pavneet Singh
and Hassan, Ahmed E.
and Xing, Zhenchang"",
title=""What do developers search for on the web?"",
journal=""Empirical Software Engineering"",
year=""2017"",
month=""Dec"",
day=""01"",
volume=""22"",
number=""6"",
pages=""3149--3185"",
abstract=""Developers commonly make use of a web search engine such as Google to locate online resources to improve their productivity. A better understanding of what developers search for could help us understand their behaviors and the problems that they meet during the software development process. Unfortunately, we have a limited understanding of what developers frequently search for and of the search tasks that they often find challenging. To address this gap, we collected search queries from 60 developers, surveyed 235 software engineers from more than 21 countries across five continents. In particular, we asked our survey participants to rate the frequency and difficulty of 34 search tasks which are grouped along the following seven dimensions: general search, debugging and bug fixing, programming, third party code reuse, tools, database, and testing. We find that searching for explanations for unknown terminologies, explanations for exceptions/error messages (e.g., HTTP 404), reusable code snippets, solutions to common programming bugs, and suitable third-party libraries/services are the most frequent search tasks that developers perform, while searching for solutions to performance bugs, solutions to multi-threading bugs, public datasets to test newly developed algorithms or systems, reusable code snippets, best industrial practices, database optimization solutions, solutions to security bugs, and solutions to software configuration bugs are the most difficult search tasks that developers consider. Our study sheds light as to why practitioners often perform some of these tasks and why they find some of them to be challenging. We also discuss the implications of our findings to future research in several research areas, e.g., code search engines, domain-specific search engines, and automated generation and refinement of search queries."",
issn=""1573-7616"",
doi=""10.1007/s10664-017-9514-4"",
url=""https://doi.org/10.1007/s10664-017-9514-4""
}",en,Article,0,,
Towards just-in-time suggestions for log changes,10.1007/s10664-016-9467-z,2016,https://link.springer.com/article/10.1007/s10664-016-9467-z,"@Article{Li2017,
author=""Li, Heng
and Shang, Weiyi
and Zou, Ying
and E. Hassan, Ahmed"",
title=""Towards just-in-time suggestions for log changes"",
journal=""Empirical Software Engineering"",
year=""2017"",
month=""Aug"",
day=""01"",
volume=""22"",
number=""4"",
pages=""1831--1865"",
abstract=""Software developers typically insert logging statements in their source code to record runtime information. However, providing proper logging statements remains a challenging task. Prior approaches automatically enhance logging statements, as a post-implementation process. Such automatic approaches do not take into account developers' domain knowledge; nevertheless, developers usually need to carefully design the logging statements since logs are a rich source about the field operation of a software system. The goals of this paper include: i) understanding the reasons for log changes; and ii) proposing an approach that can provide developers with log change suggestions as soon as they commit a code change, which we refer to as ``just-in-time'' suggestions for log changes. In particular, we derive a set of measures based on manually examining the reasons for log changes and our experiences. We use these measures as explanatory variables in random forest classifiers to model whether a code commit requires log changes. These classifiers can provide just-in-time suggestions for log changes. We perform a case study on four open source projects: Hadoop, Directory Server, Commons HttpClient, and Qpid. We find that: (i) The reasons for log changes can be grouped along four categories: block change, log improvement, dependence-driven change, and logging issue; (ii) our random forest classifiers can effectively suggest whether a log change is needed: the classifiers that are trained from within-project data achieve a balanced accuracy of 0.76 to 0.82, and the classifiers that are trained from cross-project data achieve a balanced accuracy of 0.76 to 0.80; (iii) the characteristics of code changes in a particular commit and the current snapshot of the source code are the most influential factors for determining the likelihood of a log change in a commit."",
issn=""1573-7616"",
doi=""10.1007/s10664-016-9467-z"",
url=""https://doi.org/10.1007/s10664-016-9467-z""
}",en,Article,1,0,0
